airline_sentiment,clean_tweet
positive,unrivalled access california flights u uk airports nonstop one stop connections year round
neutral,booked award tix thaiairways seeing conf united flight booking problems get get thai
negative,luckily made flights time disappointed lack communication
negative,checking see flight atl ord got cancelled flighted
negative,service far horrid wanted end trip high note guess option
negative,booked flight home months ago requested seats together fianc e got middle seats unacceptable
negative,guys horrible
positive,thnx info
negative,pay wifi international business ticket pennypincher
negative,ok top things lost luggage could get worse unitedairlines
positive,kudos cancelled flightling flights dfw morning united usually first panic
negative,luggage broken youcouldntmakethis brokenwheel
neutral,flight dfw ord currently time see advisory dfw may affected weather
negative,maybe one day one quoted
negative,flight delayed one remembered turn heat flight leaving ord seriously
positive,another awesome new plane flight extremely nice captain steve connolly
negative,speak real person get resolved politely efficiently
negative,filed refund claim told charge dm disputed bank hence would like
negative,bags make flight iad second day without clothes pretty inconvenient pretty curious unitedairlines
positive,every united flight saipan guam adventure never know old plane operational
negative,hence asking customer service phone number speak real person get sorted
negative,bags leave washington yet would convenient seeing left day ago unitedairlines lostluggage
neutral,flying st class one leg chicago long flight china still able use lounge chicago
negative,according dms owed refund please may provided contact number go bank file claim
negative,hours ago need work bag make hotel time need go elsewhere
neutral,okay thank
neutral,filed claim way calling updates another way
negative,pls properly train agents requested speak k customer service amp transferred dead end even open hr
negative,thanks remembering load bag onto connecting flight oh wait forgot iceland fun clothes
positive,thank cheese platter abundance entertainment options time flew
negative,customer service atrocious disrupted travel plans lost luggage impossible talk human
negative,terminal mia food open esp flights two hours early like recommended eat
negative,ua flight currently stuck portland missed ride hour delay getmartyhome
negative,responded various requests contact numbers anyone know uk customer service number unitedairlines
negative,looking getting bags lusaka
negative,could update suitcase please online phone tracking told nothing told back yesterday
positive,thank trying two days set
negative,last thing u guys charging drinks transatlantic flight
negative,lhr arrival lounge fail waited mins shower left find hotel u know many passengers u carry planning
neutral,luck finalizing reservation dm information please let know else need want confirm asap thx
negative,completed form doubt use ua care day vacation sure ua feel responsibility
positive,definitely compliment really thought bag lost sent another airport end happy customer
positive,thanx much followed emailed ticket voucher unitedairlines care
